object	field	owner_lifetime	initializer	early_adoption	reset_destroy	copy_rule	notes
PgSession	jit_provider_state	session owned	PgSessionInitializeJitProviderState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; dynamic library handles and provider-private resources are owned by dfmgr/provider callbacks	whole bucket adoption; copied callback function pointers refer to loaded provider code and must not be freed by bucket	JIT provider callback cache and load-status flags.
PgSession	llvm_jit	session owned	PgSessionInitializeLLVMJitState()	PgSessionAdoptEarlyState()	LLVM provider owns and resets this bucket through llvm_shutdown(), llvm_release_context(), llvm_inline_reset_caches(), and context recreation; process exit callbacks dispose ORC/thread-safe contexts, resource owners release active LLVMJitContexts, and type/template refs are rebuilt from llvmjit_types.bc per session	whole bucket adoption; LLVM handles, modules, contexts, target refs, and type/template refs must not be shallow-copied between concurrently live sessions; provider callbacks own normal shutdown before session reset	LLVM provider-private session cache for type refs, template refs, module metadata, context reuse counters, and ORC JIT instances.
PgSession	sort_guc	session owned	PgSessionInitializeSortGUCState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; scalar GUC backing state	scalar whole bucket adoption	Sort GUC state.
PgSession	text_search	session owned	PgSessionInitializeTextSearchState()	PgSessionAdoptEarlyState()	GUC reset machinery owns config string allocation; OID cache is scalar; PgSessionResetClosedState() destroys parser/dictionary/config cache hashes, dictionary private memory contexts, and config map arrays before catalog lookup reset may delete CacheMemoryContext	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers(); cache hash and last-used pointers move together with the owning logical session; dictionary/config entries can own data under CacheMemoryContext and therefore reset before catalog_lookup	Text search session state and text-search parser/dictionary/config caches.
PgSession	connection_guc	session owned	PgSessionInitializeConnectionGUCState()	PgSessionAdoptEarlyState()	GUC reset machinery owns string allocations; application-name reporting owns external side effects; ssl_renegotiation_limit is a scalar compatibility slot	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers()	Connection GUC state.
PgSession	query_memory	session owned	PgSessionInitializeQueryMemoryState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; scalar GUC backing state	scalar whole bucket adoption	Query memory GUC state.
PgSession	planner_cost	session owned	PgSessionInitializePlannerCostState()	PgSessionAdoptEarlyState()	no dynamic destroy currently	scalar whole bucket adoption	Planner cost GUC state.
PgSession	planner_method	session owned	PgSessionInitializePlannerMethodState()	PgSessionAdoptEarlyState()	no dynamic destroy currently	scalar whole bucket adoption	Planner method GUC state.
PgSession	function_manager	session owned	PgSessionInitializeFunctionManagerState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() destroys the fmgr C-function hash, calls funccache.c's cached-function hash destructor, and deletes the function-manager memory context; dynamic library handles remain runtime-owned	whole bucket adoption; fmgr and funccache hash storage, copied funccache tuple descriptors, and cached-function wrapper structs are owned by the function-manager memory context; fmgr entries point to dynamic-loader metadata and do not own dynamic-library handles; cached-function entries can own language-specific cached-function state, and the destructor follows funccache's historical leak-on-active-use rule	Function manager session caches for external C functions and language cached-function execution data.
PgSession	extension_modules	session owned	PgSessionInitializeExtensionModuleState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() invokes registered reset callbacks with the closing session installed, clears callback list, deletes PL/Python/PL/Perl/PL/Tcl/PL/Sample allocation parent contexts, deletes sepgsql label and AVC contexts, clears the PL/pgSQL private-state pointer, clears PL/Python procedure-cache slots, clears PL/Perl interpreter/procedure/custom-GUC/current-call slots, clears PL/Tcl interpreter/procedure/cache slots, clears refint SPI plan cache slots, clears sepgsql label/AVC slots, clears pgcrypto DES cache state, clears dblink and postgres_fdw connection/cache slots, and restores auth_delay, basebackup_to_shell, auto_explain, isn, passwordcheck, pg_trgm, pg_plan_advice, and pg_stash_advice custom-GUC defaults	whole bucket adoption; early fallback transfers private-state pointer, callback list, PL/Python allocation parent/procedure-cache pointer/registration flag, PL/Perl allocation parent/custom-GUC string/scalar slots, interpreter and procedure hash pointers, active/held interpreter pointers, current-call pointer, and registration/init/shutdown flags, PL/Tcl allocation parent/custom-GUC string slots/interpreter and procedure hash pointers/current-call pointer/registration flag, PL/Sample allocation parent pointer, refint SPI plan cache pointer/count pairs and registration flag, sepgsql label and AVC context/list/scalar slots, pgcrypto DES scalar/array state, dblink pointer slots/registration flag, postgres_fdw connection and shippability cache slots/counters/flags, auth_delay/basebackup_to_shell/isn/passwordcheck custom-GUC backing slots, auto_explain custom-GUC backing state, pg_trgm custom-GUC scalars, pg_plan_advice session scalars/string slot, and pg_stash_advice stash-name string slot into the real session; callbacks must own cleanup for pointed extension-private state before language parent contexts and dynamic_library_context are deleted	Opaque per-session in-tree extension state bridge, currently used by PL/pgSQL, PL/Python procedure caches and allocation parent contexts, PL/Perl interpreter/procedure caches, allocation parent contexts, and custom-GUC backing state, PL/Tcl interpreter/procedure caches, allocation parent contexts, and custom-GUC backing strings, PL/Sample allocation parent context, refint SPI plan caches, sepgsql client-label and AVC state, pgcrypto DES cache state, dblink persistent connections, postgres_fdw connection and shippability caches, auth_delay/basebackup_to_shell/isn/passwordcheck custom-GUC backing state, auto_explain custom-GUC backing state, pg_trgm custom-GUC backing state, pg_plan_advice session state, and pg_stash_advice session state.
PgSession	catalog_lookup	session owned	PgSessionInitializeCatalogLookupState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() destroys attribute-options, relfilenumber, and tablespace hash roots, deletes the event-trigger cache context and clears any orphaned event-trigger hash pointer as stale context-owned state, frees retained ruleutils SPI plans, deletes the CacheMemoryContext after dependent cache roots and text-search cache entries have been handled, switches CurrentMemoryContext to TopMemoryContext first when deleting the current context, closes the ICU converter through pg_locale_icu.c, clears inline relfilenumber scan keys, clears syscache/catcache root arrays/header, clears relcache root hashes, hardcoded descriptor pointers, build flags, and invalidation counter, and clears typcache root hashes, domain list, in-progress stack pointer/counters, record-cache array pointer/counters, and tupledesc counter	whole bucket adoption; early fallback transfers session cache roots and the CacheMemoryContext slot into the real session then zeros fallback storage; cache/context/hash/SPI-plan/ICU-converter/catcache/relcache/typcache pointers must not be shallow-copied between concurrently live sessions; event-trigger cache hash storage is EventTriggerCacheContext-owned and is never an independent teardown owner; inline ScanKeyData and syscache OID arrays are copied by value; relcache RelationId/opclass dynahash private contexts, hardcoded pg_class/pg_index tuple descriptors, and typcache/record dynahash private contexts are CacheMemoryContext-owned	Catalog lookup and formatting support caches for CacheMemoryContext, syscache root arrays, catcache header, relcache RelationId and opclass roots plus build/invalidation scalars and hardcoded pg_class/pg_index descriptors, typcache and record-cache roots/counters, attribute options, relfilenumber mapping, tablespace options, event triggers, ruleutils SPI plans, and ICU conversion.
PgSession	invalidation_callbacks	session owned	PgSessionInitializeInvalidationCallbackState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() clears callback registrations after dependent session caches are destroyed	whole bucket adoption; callbacks are function pointers plus Datum args and do not own target cache storage	Per-session syscache, relcache, and relsync invalidation callback registry.
PgSession	ri_globals	session owned	PgSessionInitializeRIGlobalsState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() destroys RI constraint/query/compare hash roots, reinitializes the valid-entry list, resets the fast-path xact callback registration guard, and resets debug_discard_caches to its default; saved SPI plans pointed to by the RI query cache remain part of the broader SPI/TopMemoryContext ownership split until that split is closed	whole bucket adoption; hash roots and valid-list head move with the logical session and must not be copied between concurrently live sessions; fastpath_xact_callback_registered and debug_discard_caches are scalar state	Referential-integrity trigger session caches, fast-path callback registration guard, and debug cache-discard GUC state.
PgSession	relmap	session owned	PgSessionInitializeRelMapState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() resets loaded shared/local map files to unloaded empty state; transaction active/pending relmap updates remain execution-owned	whole bucket adoption; loaded map files are inline scalar storage copied by value	Relation mapper loaded shared/local session map state.
PgSession	prepared_statement	session owned	PgSessionInitializePreparedStatementState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() drops prepared statements and destroys the retained hash table	whole bucket adoption; prepared plans are dropped before destroying the hash	Prepared statement state.
PgSession	on_commit	session owned	PgSessionInitializeOnCommitState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() frees any leftover ON COMMIT action list cells after transaction cleanup	whole bucket adoption; list cells are session-owned	ON COMMIT action state.
PgSession	sequence	session owned	PgSessionInitializeSequenceState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState()/ResetSequenceCaches() destroy sequence hash and clear last-used pointer	whole bucket adoption; sequence hash belongs to session	Sequence session state.
PgSession	xact_callbacks	session owned	PgSessionInitializeXactCallbackState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState()/ResetXactCallbackState() frees registered xact and subxact callback list nodes, then deletes the session-owned callback allocation context	whole bucket adoption; callback nodes are allocated in the session-owned xact callback context and own only function pointers plus opaque args, while the pointed args remain callback-owner responsibility	Transaction and subtransaction callback registration lists and allocation context.
PgSession	backup	session owned	PgSessionInitializeBackupState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() aborts a running backup through do_pg_abort_backup(), deletes backup_context, and clears backup_state/tablespace_map/status	whole bucket adoption; backup_context owns backup_state and tablespace_map, session_backup_state is scalar status mirrored with shared WAL backup counters	SQL-callable online backup session state.
PgSession	regex	session owned	PgSessionInitializeRegexState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes the compiled-regexp cache context, clears the inline cached-regexp array/count, and frees regex ctype cache list through regex-owned helper	whole bucket adoption; compiled regexp entries are inline slots whose cre_context children belong to regexp_cache_context and must not be shallow-copied between concurrently live sessions; ctype cache list belongs to session	Regex session caches.
PgSession	portal_manager	session owned	PgSessionInitializePortalManagerState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes TopPortalContext, which owns portal structs, portal contexts, hold contexts, and the portal hash table, then clears the unnamed-portal counter	whole bucket adoption; TopPortalContext and portal_hash_table move with the logical session and must not be shallow-copied between concurrently live sessions	Portal manager state for named portals and unnamed portal name generation.
PgSession	large_object	session owned	PgSessionInitializeLargeObjectState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() clears large-object relation slots after AtEOXact_LargeObject()/close_lo_relation() own open-descriptor and relation cleanup	whole bucket adoption; relation pointers must be NULL before closed-session reset	Large object session state.
PgSession	async	session owned	PgSessionInitializeAsyncState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() destroys any remaining local channel hash and clears listener registration after proc-exit async cleanup	whole bucket adoption; shared listener cleanup remains proc-exit callback-owned	LISTEN/NOTIFY session state.
PgSession	encoding	session owned	PgSessionInitializeEncodingState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes the encoding conversion cache context, which owns conversion procedure list cells, ConvProcInfo entries, and UTF8-to-server FmgrInfo entries; GUC reset machinery owns client/server encoding display strings; encoding descriptors are borrowed from global lookup tables	scalar/pointer-slot whole bucket adoption; conversion cache context and pointer slots move with the session and must not be shallow-copied between concurrently live sessions; string variables rebound through RebindSessionGUCVariablePointers()	Client/server encoding state and conversion cache.
PgSession	temp_file	session owned	PgSessionInitializeTempFileState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() resets temporary-file counters and temp tablespace slots after AtEOXact_Files()/BeforeShmemExit_Files() own file cleanup	whole bucket adoption; temp tablespace OID array lifespan remains caller/transaction owned	Temporary file session state.
PgSession	random	session owned	PgSessionInitializeRandomState()	PgSessionAdoptEarlyState()	no dynamic destroy currently	scalar whole bucket adoption	Session PRNG state.
PgSession	optimizer	session owned	PgSessionInitializeOptimizerState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() frees planner extension array and destroys operator proof hash	whole bucket adoption; planner extension strings are borrowed, array/hash belong to session	Optimizer session state.
PgSession	plan_cache	session owned	PgSessionInitializePlanCacheState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() asserts saved plan/expression lists are empty after plancache cleanup owns plan detach/destruction, then reinitializes list heads	whole bucket adoption; plan/expression dlist payloads must not be freed by bucket reset	Plan cache session state.
PgSession	namespace_state	session owned	PgSessionInitializeNamespaceState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes the derived search-path list context and search-path cache context, then clears namespace/temp-namespace slots after namespace cleanup owns temp relation removal and GUC reset owns namespace_search_path_value	whole bucket adoption; namespace_search_path_value is GUC-owned; search_path_context owns base/active search-path list cells; search-path cache context owns cached entries	Namespace/search-path state.
PgSession	locale	session owned	PgSessionInitializeLocaleState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes localized-time, localeconv, and collation cache contexts, frees localeconv malloc strings, clears localized-time arrays and last-cache pointers	whole bucket adoption; GUC locale strings remain GUC-owned; localized-time, localeconv, and collation cache contexts belong to session	Locale and collation cache state.
PgSession	dynamic_library_context	session owned	created by PgSessionGetDynamicLibraryMemoryContext()	no early fallback	PgSessionResetClosedState() deletes context	context pointer owned by session; never copied across sessions	Memory context for per-session extension _PG_init replay list cells.
PgSession	dynamic_library_inits	session owned	zeroed with session	no early fallback	PgSessionResetClosedState() frees list context or legacy list cells	list pointer must not be shallow-copied across sessions	Per-session extension _PG_init replay list; library handles remain runtime-owned.
PgConnection	backend	backend link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; backend owns target	pointer link assigned by constructor	Back-reference to backend object.
PgConnection	session	session link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; session owns target	pointer link assigned by constructor	Back-reference to session object.
PgConnection	identity	connection owned	zeroed or constructor port assignment	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() deletes port_context, clears the Port pointer, and clears cancel key state	whole bucket adoption with preserved-port rule; PortContext moves with the logical connection and owns the Port payload allocated by pq_init()	Connection Port, PortContext, and cancel key.
PgConnection	socket_io	connection owned	zeroed with connection	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() deletes socket_io_context and clears send/receive cursor state; socket_close normally deletes the same context before closed-state reset	whole bucket adoption; socket_io_context owns PqSendBuffer and must move with send_buffer/send cursor state; recv_buffer is inline fixed storage	Send/receive buffer state, including the Win32 emulated nonblocking flag.
PgConnection	protocol	connection owned	zeroed with connection	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState(); socket_close frees wait set first	whole bucket adoption	Protocol methods and frontend wait set.
PgConnection	output	connection owned	PgConnectionInitializeOutputState()	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() restores default output destination/check interval	scalar whole bucket adoption	Output destination/check interval.
PgConnection	interrupts	connection owned	zeroed with connection	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() clears client connection interrupt flags	scalar whole bucket adoption	Client connection interrupt flags.
PgConnection	startup	connection owned	PgConnectionInitializeStartupState()	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() clears client socket pointer and deletes saved connection warning context/list/message/detail state; EmitConnectionWarnings() deletes the same context after normal emission	whole bucket adoption; warning context/list/message/detail state moves with the connection and must not be shallow-copied between concurrently live connections	Backend startup/auth timing state and deferred connection warning scratch.
PgConnection	client_connection_info	connection owned	zeroed with connection	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() clears authenticated-client info and falls back to pfree only for restored authn_id strings without a client_connection_info_context; normal authentication strings remain PortContext-owned	scalar/pointer whole bucket adoption; authn_id pointer must move with client_connection_info_context and client_connection_info_authn_id_owned and must not be shallow-copied between concurrently live connections	Authenticated-client info.
PgConnection	client_connection_info_context	connection owned	zeroed with connection	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() deletes the context after client_connection_info has cleared authn_id	session/backend restored authn_id strings are allocated here; the context pointer moves with client_connection_info and client_connection_info_authn_id_owned during fallback adoption	Authenticated-client info allocation context.
PgConnection	client_connection_info_authn_id_owned	connection owned	zeroed with connection	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() clears the ownership flag after client_connection_info reset	scalar adoption paired with client_connection_info; true means the runtime object owns authn_id and must free it on connection reset	Ownership bit for restored authenticated-client info.
PgConnection	security	connection owned	zeroed with connection	PgConnectionAdoptEarlyState()	PgConnectionResetClosedState() frees GSS buffers and clears borrowed PAM fields	whole bucket adoption	SSL/GSS/PAM connection security state.
PgExecution	backend	backend link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; backend owns target	pointer link assigned by constructor	Back-reference to backend object.
PgExecution	session	session link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; session owns target	pointer link assigned by constructor	Back-reference to session object.
PgExecution	carrier	carrier link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; carrier owns target	pointer link assigned by constructor	Back-reference to current carrier.
PgExecution	debug	execution owned	zeroed with execution	PgExecutionAdoptEarlyState()	PostgresMain command/error paths and PgBackendExitCleanup()/PgExecutionResetClosedState() clear borrowed debug query pointer	scalar whole bucket adoption; pointer is borrowed query text, not freed by bucket	Debug query string pointer.
PgExecution	error	execution owned	PgExecutionInitializeErrorState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores the default error stack depth and clears borrowed callback/exception stack pointers; error context cleanup owns palloc'd ErrorData string contents and callback-owned context state	whole bucket adoption; errordata stack and formatted timestamp cache are inline execution state; context/exception stack pointers are borrowed from existing error handling	Error reporting state.
PgExecution	memory_contexts	execution owned	zeroed with execution	PgExecutionAdoptEarlyState()	PgBackendExitCleanup()/PgExecutionResetClosedState() deletes MessageContext and clears retained context slots after session/backend reset; transaction/portal cleanup owns remaining pointed-to contexts for now	pointer-slot adoption only; pointed-to contexts must not be shallow-copied between concurrently live executions; MessageContext is execution-owned and reset each protocol loop iteration; TopMemoryContext pointer follows the execution object, but the pointed TopMemoryContext tree remains carrier-owned until the broader memory ownership split	Top/current/error/message transaction contexts.
PgExecution	resource_owners	execution owned	zeroed with execution	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears borrowed ResourceOwner pointers after resource owner cleanup owns target objects and deletes the execution-owned ResourceOwner allocation context when no live owner slots remain	whole bucket adoption; ResourceOwner objects and hash arrays allocate under the execution-owned context, but resource release/delete semantics remain explicit	ResourceOwner bridge state and allocation context.
PgExecution	spi	execution owned	PgExecutionInitializeSPIState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default SPI scalar/pointer slots after SPI cleanup owns stack/result state	whole bucket adoption	SPI execution state.
PgExecution	portal	execution owned	zeroed with execution	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears borrowed active portal pointer after portal cleanup owns active portal state	whole bucket adoption	Active portal state.
PgExecution	vacuum	execution owned	PgExecutionInitializeVacuumState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default vacuum execution slots after vacuum cleanup owns active shared-cost state	whole bucket adoption	Vacuum execution state.
PgExecution	node_io	execution owned	PgExecutionInitializeNodeIOState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears scalar flags and borrowed tokenizer pointer	whole bucket adoption; strtok pointer must not be freed by bucket	Node I/O execution state.
PgExecution	basebackup	execution owned	PgExecutionInitializeBaseBackupState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default basebackup counters/flags after basebackup cleanup owns active state	whole bucket adoption	Base backup execution state.
PgExecution	analyze	execution owned	PgExecutionInitializeAnalyzeState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() deletes any retained ANALYZE context, clears the strategy slot, and restores default analyze state after active ANALYZE cleanup owns normal state	whole bucket adoption; analyze context must not be shared between concurrently live executions	Analyze execution state.
PgExecution	extension	execution owned	PgExecutionInitializeExtensionState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default extension DDL, auto_explain execution sampling/nesting state, and pgcrypto debug callback state after extension cleanup owns active state	whole bucket adoption; early fallback transfers extension DDL state, auto_explain execution-local state, and pgcrypto debug callback pointer into the real execution object	Extension command execution state plus auto_explain per-execution nesting/sampling state and pgcrypto temporary debug callback state.
PgExecution	matview	execution owned	PgExecutionInitializeMatViewState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default materialized-view maintenance depth after matview cleanup owns active state	whole bucket adoption	Materialized view refresh state.
PgExecution	snapshot	execution owned	PgExecutionInitializeSnapshotState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default snapshot slots after snapshot cleanup owns stacks/lists	whole bucket adoption	Snapshot execution state.
PgExecution	combo_cid	execution owned	PgExecutionInitializeComboCidState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears combo CID hash/array slots after combo CID cleanup owns hash/array	whole bucket adoption	Combo CID state.
PgExecution	xloginsert	execution owned	PgExecutionInitializeXLogInsertState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() deletes any retained WAL record construction context, thereby reclaiming registered buffer, rdata, and header scratch arrays, then restores default XLog insert state	whole bucket adoption; begininsert state must not be shallow-copied while a record is active, and the construction context must not be shared between concurrently live executions	XLog insertion execution state.
PgExecution	xact	execution owned	PgExecutionInitializeXactState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() deletes any retained TransactionAbortContext, restores default transaction execution slots, and leaves normal transaction cleanup to own active xact state	whole bucket adoption; scalar counters/timestamps copied by value; unreported_xids is inline fixed storage matched to PGPROC; ParallelCurrentXids and prepare_gid are borrowed pointers owned by parallel transaction restore and transaction prepare state; top/current transaction-stack pointers are opaque xact.c-owned TransactionStateData pointers allocated under TopMemoryContext	Transaction execution state for xact flags, XID bookkeeping, command IDs, timestamps, prepare GID, force-sync flag, transaction-stack root/current pointer, and abort context bridge.
PgExecution	transaction_cleanup	execution owned	PgExecutionInitializeTransactionCleanupState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() deletes any retained large-object cleanup context and clears transaction cleanup bridge slots after existing transaction/subtransaction cleanup owns live LO descriptors, temp-file cleanup flag, pgstat xact stack, and RI fast-path cache cleanup	whole bucket adoption; pgstat xact stack and RI fast-path hash are borrowed pointers owned by their existing transaction memory contexts, resource owners, and cleanup callbacks; temp-file and callback flags are copied scalars	Transaction cleanup bridge for LO descriptors, xact temp-file cleanup marker, pgstat subtransaction stack, and RI fast-path batch cache.
PgExecution	replication_scratch	execution owned	PgExecutionInitializeReplicationScratchState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() deletes any open event-trigger query-state stack, deletes the execution-owned event-trigger parent context, deletes retained logical apply message and streaming contexts, and restores default replication scratch slots; logical replication cleanup owns live callbacks	whole bucket adoption; event-trigger query-state contexts are children of event_trigger_context and must not be shallow-copied between concurrently live executions; apply message and streaming contexts must not be shared between concurrently live executions; apply error stack is borrowed callback state; replorigin state is copied scalar LSN/origin/timestamp state	Execution scratch state for event-trigger query state, replication origin transaction state, and logical apply message/streaming contexts.
PgExecution	guc_error	execution owned	PgExecutionInitializeGUCErrorState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears GUC error scratch strings after GUC error cleanup owns strings	whole bucket adoption	GUC error reporting state.
PgExecution	async	execution owned	PgExecutionInitializeAsyncState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears async transaction slots after async transaction cleanup owns pending actions/notifies and SignalBackends workspace	whole bucket adoption; pending lists live in transaction contexts; signal arrays live in PgExecution.async.signal_context, which is deleted by PgExecutionResetClosedState()	LISTEN/NOTIFY transaction execution state.
PgExecution	catalog	execution owned	PgExecutionInitializeCatalogState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default catalog execution slots after enum/reindex/smgr transaction cleanup owns hash/list state	whole bucket adoption; serialized parallel-worker restore rebuilds local lists/hashes	Catalog execution state for enum safety, reindex suppression, and pending storage cleanup.
PgExecution	catalog_cache	execution owned	PgExecutionInitializeCatalogCacheState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears catalog-cache execution slots after existing relcache/catcache cleanup owns in-progress stack entries, relcache EOXact tupledesc array, and per-transaction cleanup state	whole bucket adoption; catcache and relcache in-progress pointers are borrowed stack/cache-context pointers; relcache EOXact OID list is inline scalar storage; tupledesc array pointer is owned by existing relcache EOXact cleanup	Catalog cache execution state for catcache in-progress stack and relcache build/EOXact scratch.
PgExecution	relmap	execution owned	PgExecutionInitializeRelMapState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores empty relation maps after existing relmapper CCI/EOXact cleanup owns active and pending map lifecycle	whole bucket adoption; active/pending map files are inline scalar storage copied by value; parallel-worker restore replaces active maps only after asserting all active/pending maps are empty	Relation mapper active/pending transaction update state.
PgExecution	invalidation	execution owned	PgExecutionInitializeInvalidationState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears invalidation pointer slots after existing inval command/subtransaction/transaction cleanup owns message processing and pointer reset	whole bucket adoption; message arrays are TopTransactionContext allocations borrowed by the inval transaction lifecycle; trans/inplace info pointers are owned by TopTransactionContext or current critical-section context	Cache invalidation transaction and inplace-update execution state.
PgExecution	two_phase_records	execution owned	PgExecutionInitializeTwoPhaseRecordState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears two-phase record chain slots after EndPrepare() clears the chain or transaction/error context cleanup owns allocated chunks on abort	whole bucket adoption; state-file chunks are borrowed pointers allocated by existing prepare-transaction context lifetime	Two-phase prepare state-file assembly scratch.
PgExecution	trigger	execution owned	PgExecutionInitializeTriggerState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() deletes the execution-owned after-trigger parent context, clears trigger depth/private-state slots, and restores default trigger state after existing trigger transaction/subtransaction cleanup deletes event contexts, query stacks, transition tuplestores, and callback lists	whole bucket adoption; depth is scalar; after-trigger private state is an opaque allocation under after_triggers_context and must not be shallow-copied between concurrently live executions; internal event/list/context pointers remain owned by existing trigger cleanup	Trigger nesting depth and after-trigger transaction/query execution state.
PgExecution	regex	execution owned	PgExecutionInitializeRegexState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears borrowed regex locale pointer	whole bucket adoption; locale object owned by collation/locale cache	Execution regex state.
PgExecution	valgrind	execution owned	PgExecutionInitializeValgrindState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() restores default scalar error-count state	scalar whole bucket adoption	Valgrind error-count state.
PgExecution	snapbuild	execution owned	PgExecutionInitializeSnapBuildState()	PgExecutionAdoptEarlyState()	PgExecutionResetClosedState() clears snapbuild export slots after snapbuild cleanup owns export state	whole bucket adoption	Logical decoding snapbuild state.
